File: DSP-1001660005140-Y-A01, Raw: 1169, Trimmed: 1130, Stitched: 52, Aligned: 40, Deduplicated: 9
File: DSP-1001660005140-Y-A02, Raw: 1626793, Trimmed: 1614527, Stitched: 1591170, Aligned: 1530948, Deduplicated: 79390
File: DSP-1001660005140-Y-A03, Raw: 5290663, Trimmed: 5245797, Stitched: 5168551, Aligned: 4987731, Deduplicated: 463221
File: DSP-1001660005140-Y-A04, Raw: 17562088, Trimmed: 17409140, Stitched: 17138896, Aligned: 16466029, Deduplicated: 1088734
File: DSP-1001660005140-Y-A05, Raw: 16744299, Trimmed: 16626822, Stitched: 16438338, Aligned: 15585102, Deduplicated: 1095115
File: DSP-1001660005140-Y-A06, Raw: 915029, Trimmed: 906771, Stitched: 894806, Aligned: 864284, Deduplicated: 67583
File: DSP-1001660005140-Y-A07, Raw: 10934163, Trimmed: 10822276, Stitched: 10677037, Aligned: 10285800, Deduplicated: 571235
File: DSP-1001660005140-Y-A08, Raw: 17607668, Trimmed: 17435872, Stitched: 17188395, Aligned: 16533874, Deduplicated: 1013446
File: DSP-1001660005140-Y-A09, Raw: 12925617, Trimmed: 12810146, Stitched: 12637511, Aligned: 11990386, Deduplicated: 934452
File: DSP-1001660005140-Y-A10, Raw: 1131594, Trimmed: 1121036, Stitched: 1105833, Aligned: 1066313, Deduplicated: 62610
File: DSP-1001660005140-Y-A11, Raw: 9088895, Trimmed: 8998866, Stitched: 8882607, Aligned: 8594551, Deduplicated: 622805
File: DSP-1001660005140-Y-A12, Raw: 15728201, Trimmed: 15567035, Stitched: 15378492, Aligned: 14753215, Deduplicated: 913981
File: DSP-1001660005140-Y-B01, Raw: 19010016, Trimmed: 18828284, Stitched: 18550156, Aligned: 17468330, Deduplicated: 953689
File: DSP-1001660005140-Y-B02, Raw: 1273351, Trimmed: 1261729, Stitched: 1245491, Aligned: 1200695, Deduplicated: 66386
File: DSP-1001660005140-Y-B03, Raw: 5835959, Trimmed: 5794432, Stitched: 5728736, Aligned: 5536810, Deduplicated: 410554
File: DSP-1001660005140-Y-B04, Raw: 12221397, Trimmed: 12104368, Stitched: 11954828, Aligned: 11485960, Deduplicated: 860988
File: DSP-1001660005140-Y-B05, Raw: 36131997, Trimmed: 35828730, Stitched: 35363726, Aligned: 33608293, Deduplicated: 1141445
File: DSP-1001660005140-Y-B06, Raw: 1178306, Trimmed: 1172393, Stitched: 1159567, Aligned: 1113171, Deduplicated: 68305
File: DSP-1001660005140-Y-B07, Raw: 20163454, Trimmed: 19995070, Stitched: 19714062, Aligned: 18849958, Deduplicated: 699523
File: DSP-1001660005140-Y-B08, Raw: 30565635, Trimmed: 30318976, Stitched: 29956030, Aligned: 28148039, Deduplicated: 733402
File: DSP-1001660005140-Y-B09, Raw: 1115542, Trimmed: 1103900, Stitched: 1088705, Aligned: 1045715, Deduplicated: 63126
File: DSP-1001660005140-Y-B10, Raw: 27737025, Trimmed: 27474951, Stitched: 27126813, Aligned: 26076681, Deduplicated: 906678
File: DSP-1001660005140-Y-B11, Raw: 9632816, Trimmed: 9565230, Stitched: 9450373, Aligned: 8949535, Deduplicated: 622394
File: DSP-1001660005140-Y-B12, Raw: 510149, Trimmed: 505592, Stitched: 498823, Aligned: 477306, Deduplicated: 60292
File: DSP-1001660005140-Y-C01, Raw: 13802309, Trimmed: 13684056, Stitched: 13511375, Aligned: 12976490, Deduplicated: 1103944
File: DSP-1001660005140-Y-C02, Raw: 12506419, Trimmed: 12407795, Stitched: 12249054, Aligned: 11524559, Deduplicated: 828321
File: DSP-1001660005140-Y-C03, Raw: 801290, Trimmed: 795111, Stitched: 785498, Aligned: 761887, Deduplicated: 70193
File: DSP-1001660005140-Y-C04, Raw: 13550746, Trimmed: 13441692, Stitched: 13291583, Aligned: 12877017, Deduplicated: 696519
File: DSP-1001660005140-Y-C05, Raw: 14237359, Trimmed: 14115448, Stitched: 13933083, Aligned: 13422755, Deduplicated: 820806
File: DSP-1001660005140-Y-C06, Raw: 16096881, Trimmed: 15967702, Stitched: 15769838, Aligned: 15060445, Deduplicated: 945003
File: DSP-1001660005140-Y-C07, Raw: 1379106, Trimmed: 1367732, Stitched: 1351288, Aligned: 1309585, Deduplicated: 67866
File: DSP-1001660005140-Y-C08, Raw: 4275243, Trimmed: 4240234, Stitched: 4194811, Aligned: 4072663, Deduplicated: 387146
File: DSP-1001660005140-Y-C09, Raw: 8968096, Trimmed: 8884266, Stitched: 8760100, Aligned: 8437802, Deduplicated: 757756
File: DSP-1001660005140-Y-C10, Raw: 8397691, Trimmed: 8304567, Stitched: 8170321, Aligned: 7796801, Deduplicated: 803845
File: DSP-1001660005140-Y-C11, Raw: 1183161, Trimmed: 1174492, Stitched: 1161988, Aligned: 1114785, Deduplicated: 65534
File: DSP-1001660005140-Y-C12, Raw: 2940528, Trimmed: 2918088, Stitched: 2882182, Aligned: 2771448, Deduplicated: 330256
File: DSP-1001660005140-Y-D01, Raw: 9770255, Trimmed: 9708371, Stitched: 9585019, Aligned: 9219015, Deduplicated: 582327
File: DSP-1001660005140-Y-D02, Raw: 9773665, Trimmed: 9677017, Stitched: 9534460, Aligned: 8993415, Deduplicated: 615905
File: DSP-1001660005140-Y-D03, Raw: 278384, Trimmed: 276586, Stitched: 273899, Aligned: 262626, Deduplicated: 33336
File: DSP-1001660005140-Y-D04, Raw: 8075494, Trimmed: 7992977, Stitched: 7887421, Aligned: 7596146, Deduplicated: 543132
File: DSP-1001660005140-Y-D05, Raw: 8771741, Trimmed: 8700249, Stitched: 8589848, Aligned: 8126324, Deduplicated: 523538
