File: DSP-1001660005245-Z-A01, Raw: 216, Trimmed: 215, Stitched: 209, Aligned: 200, Deduplicated: 197
File: DSP-1001660005245-Z-A02, Raw: 19295289, Trimmed: 19129094, Stitched: 18913882, Aligned: 17956343, Deduplicated: 1139450
File: DSP-1001660005245-Z-A03, Raw: 3466798, Trimmed: 3438444, Stitched: 3397773, Aligned: 3215657, Deduplicated: 235775
File: DSP-1001660005245-Z-A04, Raw: 19943236, Trimmed: 19789674, Stitched: 19561119, Aligned: 18397714, Deduplicated: 2103009
File: DSP-1001660005245-Z-A05, Raw: 14335150, Trimmed: 14219040, Stitched: 14029027, Aligned: 13358398, Deduplicated: 1252433
File: DSP-1001660005245-Z-A06, Raw: 19644771, Trimmed: 19503649, Stitched: 19272323, Aligned: 17947995, Deduplicated: 1442600
File: DSP-1001660005245-Z-A07, Raw: 2302352, Trimmed: 2280001, Stitched: 2250374, Aligned: 2147672, Deduplicated: 221927
File: DSP-1001660005245-Z-A08, Raw: 19093943, Trimmed: 18949717, Stitched: 18716174, Aligned: 17758088, Deduplicated: 1550469
File: DSP-1001660005245-Z-A09, Raw: 16279264, Trimmed: 16177742, Stitched: 15992294, Aligned: 15266790, Deduplicated: 1754141
File: DSP-1001660005245-Z-A10, Raw: 11128843, Trimmed: 11036752, Stitched: 10915482, Aligned: 10235778, Deduplicated: 1245912
File: DSP-1001660005245-Z-A11, Raw: 1910784, Trimmed: 1896199, Stitched: 1870598, Aligned: 1770819, Deduplicated: 193172
File: DSP-1001660005245-Z-A12, Raw: 15812128, Trimmed: 15682882, Stitched: 15504954, Aligned: 14612615, Deduplicated: 1722642
File: DSP-1001660005245-Z-B01, Raw: 12708231, Trimmed: 12608411, Stitched: 12462629, Aligned: 11861651, Deduplicated: 1044224
File: DSP-1001660005245-Z-B02, Raw: 13644662, Trimmed: 13528950, Stitched: 13362150, Aligned: 12536674, Deduplicated: 1431571
File: DSP-1001660005245-Z-B03, Raw: 1556923, Trimmed: 1545466, Stitched: 1530804, Aligned: 1455291, Deduplicated: 178937
File: DSP-1001660005245-Z-B04, Raw: 12895875, Trimmed: 12775657, Stitched: 12620142, Aligned: 11903422, Deduplicated: 1630034
File: DSP-1001660005245-Z-B05, Raw: 18933702, Trimmed: 18778117, Stitched: 18552666, Aligned: 17748334, Deduplicated: 1399319
File: DSP-1001660005245-Z-B06, Raw: 9196399, Trimmed: 9129055, Stitched: 9028077, Aligned: 8537406, Deduplicated: 1008625
File: DSP-1001660005245-Z-B07, Raw: 2317683, Trimmed: 2298707, Stitched: 2272247, Aligned: 2156040, Deduplicated: 220833
File: DSP-1001660005245-Z-B08, Raw: 12486198, Trimmed: 12406443, Stitched: 12276832, Aligned: 11622748, Deduplicated: 1265463
File: DSP-1001660005245-Z-B09, Raw: 10411892, Trimmed: 10340920, Stitched: 10201543, Aligned: 9738164, Deduplicated: 1386771
File: DSP-1001660005245-Z-B10, Raw: 12531267, Trimmed: 12421270, Stitched: 12247973, Aligned: 11484325, Deduplicated: 1088985
File: DSP-1001660005245-Z-B11, Raw: 1559943, Trimmed: 1548161, Stitched: 1530335, Aligned: 1453450, Deduplicated: 188627
File: DSP-1001660005245-Z-B12, Raw: 14482727, Trimmed: 14339322, Stitched: 14139086, Aligned: 13463910, Deduplicated: 1541447
File: DSP-1001660005245-Z-C01, Raw: 11523198, Trimmed: 11449889, Stitched: 11325574, Aligned: 10617701, Deduplicated: 1418073
File: DSP-1001660005245-Z-C02, Raw: 1741232, Trimmed: 1727078, Stitched: 1703859, Aligned: 1631061, Deduplicated: 239604
File: DSP-1001660005245-Z-C03, Raw: 11068934, Trimmed: 10978410, Stitched: 10844262, Aligned: 10302198, Deduplicated: 1315943
File: DSP-1001660005245-Z-C04, Raw: 7002461, Trimmed: 6947845, Stitched: 6857114, Aligned: 6480717, Deduplicated: 853268
File: DSP-1001660005245-Z-C05, Raw: 1265675, Trimmed: 1257858, Stitched: 1243427, Aligned: 1188448, Deduplicated: 160330
File: DSP-1001660005245-Z-C06, Raw: 12334146, Trimmed: 12248860, Stitched: 12102139, Aligned: 11583780, Deduplicated: 1389440
File: DSP-1001660005245-Z-C07, Raw: 8754760, Trimmed: 8671427, Stitched: 8556365, Aligned: 8071281, Deduplicated: 1083846
File: DSP-1001660005245-Z-C08, Raw: 1708741, Trimmed: 1694277, Stitched: 1672684, Aligned: 1595775, Deduplicated: 196800
File: DSP-1001660005245-Z-C09, Raw: 14683998, Trimmed: 14536780, Stitched: 14339622, Aligned: 13702917, Deduplicated: 1742680
File: DSP-1001660005245-Z-C10, Raw: 12748440, Trimmed: 12654382, Stitched: 12505425, Aligned: 11745156, Deduplicated: 1528383
File: DSP-1001660005245-Z-C11, Raw: 1767932, Trimmed: 1757255, Stitched: 1739310, Aligned: 1656538, Deduplicated: 239106
File: DSP-1001660005245-Z-C12, Raw: 19517753, Trimmed: 19367746, Stitched: 19102780, Aligned: 18140479, Deduplicated: 2324219
File: DSP-1001660005245-Z-D01, Raw: 3291494, Trimmed: 3273337, Stitched: 3237983, Aligned: 3070908, Deduplicated: 585289
File: DSP-1001660005245-Z-D02, Raw: 14657820, Trimmed: 14513128, Stitched: 14318470, Aligned: 13521176, Deduplicated: 1738661
File: DSP-1001660005245-Z-D03, Raw: 1425429, Trimmed: 1412278, Stitched: 1394273, Aligned: 1329250, Deduplicated: 164958
File: DSP-1001660005245-Z-D04, Raw: 9380608, Trimmed: 9315254, Stitched: 9217902, Aligned: 8782514, Deduplicated: 1651706
File: DSP-1001660005245-Z-D05, Raw: 8532682, Trimmed: 8457721, Stitched: 8351079, Aligned: 7944552, Deduplicated: 968774
File: DSP-1001660005245-Z-D06, Raw: 10572478, Trimmed: 10499169, Stitched: 10388931, Aligned: 9812038, Deduplicated: 1202517
File: DSP-1001660005245-Z-D07, Raw: 1181774, Trimmed: 1170672, Stitched: 1150907, Aligned: 1102460, Deduplicated: 177209
File: DSP-1001660005245-Z-D08, Raw: 11742936, Trimmed: 11638502, Stitched: 11502988, Aligned: 10954621, Deduplicated: 1284224
File: DSP-1001660005245-Z-D09, Raw: 8733452, Trimmed: 8671163, Stitched: 8566792, Aligned: 8185005, Deduplicated: 889235
File: DSP-1001660005245-Z-D10, Raw: 10951871, Trimmed: 10880227, Stitched: 10762384, Aligned: 10215224, Deduplicated: 1482126
File: DSP-1001660005245-Z-D11, Raw: 1323683, Trimmed: 1313870, Stitched: 1296383, Aligned: 1240364, Deduplicated: 149321
File: DSP-1001660005245-Z-D12, Raw: 7965955, Trimmed: 7901747, Stitched: 7794249, Aligned: 7397773, Deduplicated: 1022686
File: DSP-1001660005245-Z-E01, Raw: 8458948, Trimmed: 8379509, Stitched: 8281078, Aligned: 7855254, Deduplicated: 820352
File: DSP-1001660005245-Z-E02, Raw: 12051298, Trimmed: 11972615, Stitched: 11848270, Aligned: 11196797, Deduplicated: 1590995
File: DSP-1001660005245-Z-E03, Raw: 1095705, Trimmed: 1086698, Stitched: 1073559, Aligned: 1024295, Deduplicated: 124955
File: DSP-1001660005245-Z-E04, Raw: 14510097, Trimmed: 14402144, Stitched: 14205038, Aligned: 13481942, Deduplicated: 1319789
File: DSP-1001660005245-Z-E05, Raw: 5928290, Trimmed: 5882426, Stitched: 5815491, Aligned: 5525980, Deduplicated: 810335
File: DSP-1001660005245-Z-E06, Raw: 13096223, Trimmed: 12978345, Stitched: 12794045, Aligned: 12108174, Deduplicated: 1758065
File: DSP-1001660005245-Z-E07, Raw: 570848, Trimmed: 567816, Stitched: 561700, Aligned: 535508, Deduplicated: 113227
File: DSP-1001660005245-Z-E08, Raw: 6860849, Trimmed: 6803153, Stitched: 6725740, Aligned: 6381843, Deduplicated: 653652
File: DSP-1001660005245-Z-E09, Raw: 16453228, Trimmed: 16332044, Stitched: 16143353, Aligned: 15279236, Deduplicated: 1832636
File: DSP-1001660005245-Z-E10, Raw: 1190174, Trimmed: 1182919, Stitched: 1169516, Aligned: 1115244, Deduplicated: 132757
File: DSP-1001660005245-Z-E11, Raw: 8860854, Trimmed: 8789208, Stitched: 8693301, Aligned: 8277821, Deduplicated: 845414
File: DSP-1001660005245-Z-E12, Raw: 14976543, Trimmed: 14843637, Stitched: 14660473, Aligned: 13876998, Deduplicated: 1830189
File: DSP-1001660005245-Z-F01, Raw: 1466285, Trimmed: 1456271, Stitched: 1438386, Aligned: 1375538, Deduplicated: 162498
File: DSP-1001660005245-Z-F02, Raw: 6357191, Trimmed: 6300407, Stitched: 6227174, Aligned: 5916753, Deduplicated: 745766
File: DSP-1001660005245-Z-F03, Raw: 15120632, Trimmed: 14985146, Stitched: 14802145, Aligned: 14026550, Deduplicated: 1806617
File: DSP-1001660005245-Z-F04, Raw: 1170863, Trimmed: 1164028, Stitched: 1148340, Aligned: 1092162, Deduplicated: 147689
File: DSP-1001660005245-Z-F05, Raw: 34915482, Trimmed: 34637771, Stitched: 34213011, Aligned: 32214569, Deduplicated: 2979732
File: DSP-1001660005245-Z-F06, Raw: 10676809, Trimmed: 10603383, Stitched: 10488720, Aligned: 10028169, Deduplicated: 1163590
File: DSP-1001660005245-Z-F07, Raw: 10552544, Trimmed: 10478375, Stitched: 10358072, Aligned: 9728481, Deduplicated: 1153198
File: DSP-1001660005245-Z-F08, Raw: 1171773, Trimmed: 1162481, Stitched: 1149192, Aligned: 1091835, Deduplicated: 113214
File: DSP-1001660005245-Z-F09, Raw: 20896599, Trimmed: 20757812, Stitched: 20483854, Aligned: 19241377, Deduplicated: 1885121
File: DSP-1001660005245-Z-F10, Raw: 11073661, Trimmed: 10992714, Stitched: 10846780, Aligned: 10319960, Deduplicated: 1331005
File: DSP-1001660005245-Z-F11, Raw: 13681487, Trimmed: 13567280, Stitched: 13403329, Aligned: 12489410, Deduplicated: 1462192
File: DSP-1001660005245-Z-F12, Raw: 716243, Trimmed: 710784, Stitched: 699789, Aligned: 667012, Deduplicated: 85585
File: DSP-1001660005245-Z-G01, Raw: 13861800, Trimmed: 13734137, Stitched: 13555785, Aligned: 12827139, Deduplicated: 1473324
File: DSP-1001660005245-Z-G02, Raw: 8213377, Trimmed: 8162449, Stitched: 8071876, Aligned: 7681247, Deduplicated: 824477
File: DSP-1001660005245-Z-G03, Raw: 15434585, Trimmed: 15314666, Stitched: 15119846, Aligned: 14129875, Deduplicated: 1163619
File: DSP-1001660005245-Z-G04, Raw: 1060158, Trimmed: 1052194, Stitched: 1038850, Aligned: 990775, Deduplicated: 113152
File: DSP-1001660005245-Z-G05, Raw: 15622820, Trimmed: 15485700, Stitched: 15278552, Aligned: 14404592, Deduplicated: 1760916
File: DSP-1001660005245-Z-G06, Raw: 5498896, Trimmed: 5461585, Stitched: 5396413, Aligned: 5120735, Deduplicated: 856628
File: DSP-1001660005245-Z-G07, Raw: 11560091, Trimmed: 11463176, Stitched: 11316860, Aligned: 10626157, Deduplicated: 1167481
File: DSP-1001660005245-Z-G08, Raw: 1562655, Trimmed: 1550708, Stitched: 1533235, Aligned: 1458298, Deduplicated: 186418
File: DSP-1001660005245-Z-G09, Raw: 14788357, Trimmed: 14670128, Stitched: 14481043, Aligned: 13783309, Deduplicated: 1416131
File: DSP-1001660005245-Z-G10, Raw: 13806745, Trimmed: 13710011, Stitched: 13546009, Aligned: 12866642, Deduplicated: 1352766
File: DSP-1001660005245-Z-G11, Raw: 14810660, Trimmed: 14692689, Stitched: 14513970, Aligned: 13539559, Deduplicated: 1736838
File: DSP-1001660005245-Z-G12, Raw: 946836, Trimmed: 937828, Stitched: 924968, Aligned: 882660, Deduplicated: 134433
File: DSP-1001660005245-Z-H01, Raw: 13462930, Trimmed: 13372496, Stitched: 13229337, Aligned: 12637990, Deduplicated: 1132287
File: DSP-1001660005245-Z-H02, Raw: 10596807, Trimmed: 10528427, Stitched: 10420072, Aligned: 9797458, Deduplicated: 1489048
File: DSP-1001660005245-Z-H03, Raw: 1204485, Trimmed: 1194650, Stitched: 1181104, Aligned: 1128421, Deduplicated: 120582
File: DSP-1001660005245-Z-H04, Raw: 10284474, Trimmed: 10201566, Stitched: 10085272, Aligned: 9531615, Deduplicated: 962902
File: DSP-1001660005245-Z-H05, Raw: 18374839, Trimmed: 18244685, Stitched: 18025183, Aligned: 16848932, Deduplicated: 1715233
File: DSP-1001660005245-Z-H06, Raw: 787215, Trimmed: 780360, Stitched: 771218, Aligned: 736369, Deduplicated: 82116
File: DSP-1001660005245-Z-H07, Raw: 5101118, Trimmed: 5065859, Stitched: 5006341, Aligned: 4726697, Deduplicated: 677320
File: DSP-1001660005245-Z-H08, Raw: 8991095, Trimmed: 8927997, Stitched: 8798965, Aligned: 8218948, Deduplicated: 1199255
